topic,platform,query,video_id,video_title,video_description,video_url,channel_title,video_published_at,comment_id,thread_id,parent_comment_id,is_reply,author,comment_text,detected_language,language_confidence,like_count,published_at,updated_at,context_score,matched_groups,matched_terms,kept_from,collection_method
Public YouTube comments on the ongoing Iran-US war,YouTube,Iran missile strike US Middle East,SCe-9TOy3F4,BREAKING: U.S. Halts DEVASTATING Military Strike On Iran; IDF Bombs HAMMER Tehran | TBN Israel,Day 23 of Operation Roaring Lion / Epic Fury — The U.S. issues a 48-hour ultimatum to Iran: open the Strait of Hormuz or face ...,https://www.youtube.com/watch?v=SCe-9TOy3F4,TBN Israel,2026-03-23T21:00:06Z,UgxCbq5mujnCxqYvNJt4AaABAg,UgxCbq5mujnCxqYvNJt4AaABAg,,False,@woopywoopydodo,Trump is useing taqiyya on them😂😂. No way would any irgc fanatic open discussions with the west (specially trump). There is an hadith that tells muslims to NEVER greet or start a conversation with a non blvr they are to stay silent untill you greet them or you speak first. No bs it's true. Trump is playing them.😊,en,0.9999975076850385,0,2026-03-24T08:33:54Z,2026-03-24T08:33:54Z,8,"iran, regional, war","hormuz, iran, israel, middle east, military, missile, strike, tehran",comment,YouTube Data API v3
Public YouTube comments on the ongoing Iran-US war,YouTube,Iran US strikes,kKpljAsrsXg,US-Iran War: Iran Fires Missiles Towards Northern Israel | US Strikes in Western Iraq Kill 7 | WION,US-Israel war with Iran: Latest developments: - Iran fires missiles towards northern Israel - Search for survivors after strikes in ...,https://www.youtube.com/watch?v=kKpljAsrsXg,WION,2026-03-24T03:10:29Z,Ugz4MFMeS5DOS20LNw14AaABAg,Ugz4MFMeS5DOS20LNw14AaABAg,,False,@myfitnessnutrition1104,First all world's common peoples should be united against these corrupted politician who creates this situation.,en,0.9999970217890758,0,2026-03-24T08:33:11Z,2026-03-24T08:33:11Z,6,"iran, regional, war","iran, iraq, israel, missile, strike, war",context,YouTube Data API v3
Public YouTube comments on the ongoing Iran-US war,YouTube,Iran US strikes,ILUJxaf9qMo,US Hits Iran Gas Sites! Iran Strikes AMAZON & Tel Aviv! TRUMP Insider Trading? 5 Days Pause | Kinjal,USIranWar #BreakingNews #IranAttack 1. Unacademy Revision Test Series (URTS)- UPSC CSE Prelims 2026 ...,https://www.youtube.com/watch?v=ILUJxaf9qMo,World Affairs by Unacademy,2026-03-24T08:01:08Z,UgwmAsHrFegaMv2sjlF4AaABAg.AUj8dEtpid3AUjBK-ypOJ6,UgwmAsHrFegaMv2sjlF4AaABAg,UgwmAsHrFegaMv2sjlF4AaABAg,True,@Aadi_remover_of_sorrow,Bangladesh closely monitoring the situation 😂,en,0.9999939520912733,0,2026-03-24T08:32:55Z,2026-03-24T08:32:55Z,3,"iran, us, war","iran, strike, trump",context,YouTube Data API v3
Public YouTube comments on the ongoing Iran-US war,YouTube,Iran missile strike US Middle East,SCe-9TOy3F4,BREAKING: U.S. Halts DEVASTATING Military Strike On Iran; IDF Bombs HAMMER Tehran | TBN Israel,Day 23 of Operation Roaring Lion / Epic Fury — The U.S. issues a 48-hour ultimatum to Iran: open the Strait of Hormuz or face ...,https://www.youtube.com/watch?v=SCe-9TOy3F4,TBN Israel,2026-03-23T21:00:06Z,Ugy6H0U2IQ7sly3ju094AaABAg,Ugy6H0U2IQ7sly3ju094AaABAg,,False,@lesterschulze5266,"Thank you Brothers Yair and Marti for keeping us informed of what is really happening in this war. Praying for the Peace of Jerusalem and Israel, the IDF and USA Defence Force and families and all who are affected by this war. May God continue to give His wisdom to the Governments of Israel and the USA.",en,0.9999965300013236,0,2026-03-24T08:32:32Z,2026-03-24T08:32:32Z,8,"iran, regional, war","hormuz, iran, israel, middle east, military, missile, strike, tehran",context,YouTube Data API v3
Public YouTube comments on the ongoing Iran-US war,YouTube,Iran US strikes,ILUJxaf9qMo,US Hits Iran Gas Sites! Iran Strikes AMAZON & Tel Aviv! TRUMP Insider Trading? 5 Days Pause | Kinjal,USIranWar #BreakingNews #IranAttack 1. Unacademy Revision Test Series (URTS)- UPSC CSE Prelims 2026 ...,https://www.youtube.com/watch?v=ILUJxaf9qMo,World Affairs by Unacademy,2026-03-24T08:01:08Z,UgxiiUqo97v6tG4elFd4AaABAg,UgxiiUqo97v6tG4elFd4AaABAg,,False,@ShubhamMishra-yw8nu,Usa should stop ths fight,en,0.9999967897761864,0,2026-03-24T08:32:19Z,2026-03-24T08:32:19Z,3,"iran, us, war","iran, strike, trump",context,YouTube Data API v3
Public YouTube comments on the ongoing Iran-US war,YouTube,Iran US war,R70PTOW_bVY,"RAW: Trump shares update on Iran war efforts, says US is pausing strikes on key power plants",President Donald Trump shared updates on the United States' efforts in the Iran War during a roundtable Monday at the White ...,https://www.youtube.com/watch?v=R70PTOW_bVY,13WHAM ABC News,2026-03-23T18:31:06Z,Ugy2Q2za6ThLQHet9F14AaABAg,Ugy2Q2za6ThLQHet9F14AaABAg,,False,@amandaharwell2017,He ask why didn't they capture and he said they said it was more FUN 2 DESTROY THEM,en,0.999995351873493,0,2026-03-24T08:32:10Z,2026-03-24T08:32:10Z,5,"iran, us, war","iran, strike, trump, united states, war",context,YouTube Data API v3
Public YouTube comments on the ongoing Iran-US war,YouTube,US attack on Iran,Zku2sb0eHAQ,"Israel, US attack Iran: ट्रंप के महायुद्ध से ब्रेक लेते ही अमेरिका में धमाका! तेल रिफाइनरी उड़ी !",News: अमेरिका के Texas के Port Arthur में Valero Energy के refinery में 23 मार्च को शाम करीब ...,https://www.youtube.com/watch?v=Zku2sb0eHAQ,ABPLIVE,2026-03-24T03:00:17Z,Ugye0KTaSgxqUabdeu54AaABAg,Ugye0KTaSgxqUabdeu54AaABAg,,False,@freekagyaan72,Mossad behind this refinery blast,en,0.9999964660609654,0,2026-03-24T08:32:00Z,2026-03-24T08:32:00Z,3,"iran, regional, war","attack, iran, israel",context,YouTube Data API v3
Public YouTube comments on the ongoing Iran-US war,YouTube,Iran retaliation against US,cgudSVnBT98,"🟢Israel Iran War LIVE: Iran Retaliates To US, Israel Strikes As Tehran Launches Missiles, Drones","The Middle East has exploded into total war. Following the assassination of Ayatollah Ali Khamenei in ""Operation Epic Fury,"" Iran ...",https://www.youtube.com/watch?v=cgudSVnBT98,News18 Urdu,2026-03-23T19:26:02Z,UgyhMnE4yYFi6wKyFAl4AaABAg,UgyhMnE4yYFi6wKyFAl4AaABAg,,False,@jewaypakistan8551,It means dt China & Russia r helping Iran. What may happens if iran has weapons similar to Israel and the US. An immediate ceasefire should be established.,en,0.9999965930673194,0,2026-03-24T08:31:26Z,2026-03-24T08:31:26Z,10,"iran, regional, war","drone, iran, israel, khamenei, middle east, missile, retaliation, strike, tehran, war",comment,YouTube Data API v3
Public YouTube comments on the ongoing Iran-US war,YouTube,Iran US strikes,ILUJxaf9qMo,US Hits Iran Gas Sites! Iran Strikes AMAZON & Tel Aviv! TRUMP Insider Trading? 5 Days Pause | Kinjal,USIranWar #BreakingNews #IranAttack 1. Unacademy Revision Test Series (URTS)- UPSC CSE Prelims 2026 ...,https://www.youtube.com/watch?v=ILUJxaf9qMo,World Affairs by Unacademy,2026-03-24T08:01:08Z,Ugz5OA9nH4LdNv0y9pl4AaABAg,Ugz5OA9nH4LdNv0y9pl4AaABAg,,False,@creativearch7530,Fix it.... otherwise don't say ki you are providing in free.....,en,0.9999975080599911,0,2026-03-24T08:30:54Z,2026-03-24T08:30:54Z,3,"iran, us, war","iran, strike, trump",context,YouTube Data API v3
Public YouTube comments on the ongoing Iran-US war,YouTube,Iran US strikes,ILUJxaf9qMo,US Hits Iran Gas Sites! Iran Strikes AMAZON & Tel Aviv! TRUMP Insider Trading? 5 Days Pause | Kinjal,USIranWar #BreakingNews #IranAttack 1. Unacademy Revision Test Series (URTS)- UPSC CSE Prelims 2026 ...,https://www.youtube.com/watch?v=ILUJxaf9qMo,World Affairs by Unacademy,2026-03-24T08:01:08Z,UgxsUVBsnZJVKcg2AWF4AaABAg,UgxsUVBsnZJVKcg2AWF4AaABAg,,False,@newbharat731,After 6 minutes let's discuss it in next 4 minutes 😅,en,0.8571390843362936,0,2026-03-24T08:30:51Z,2026-03-24T08:30:51Z,3,"iran, us, war","iran, strike, trump",context,YouTube Data API v3
